VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
,2021-01-05 19:14:39,2021-01-05 19:28:09,,3.32,,,78,169,,11.43,0.0,0.5,0.0,0.0,0.3,12.23,0.0
,2021-01-05 19:01:46,2021-01-05 20:01:04,,3.68,,,265,91,,27.18,0.0,0.5,0.0,0.0,0.3,27.98,0.0
,2021-01-05 19:01:21,2021-01-05 19:01:02,,1.29,,,265,72,,28.2,0.0,0.5,0.0,0.0,0.3,29.0,0.0
,2021-01-05 19:30:00,2021-01-05 19:47:00,,5.38,,,43,7,,22.83,0.0,0.5,2.75,6.12,0.3,32.5,0.0
,2021-01-05 19:19:11,2021-01-05 19:55:41,,7.04,,,123,225,,26.71,0.0,0.5,2.75,0.0,0.3,30.26,0.0
,2021-01-05 19:03:00,2021-01-05 19:21:00,,4.69,,,200,81,,25.45,0.0,0.5,2.75,0.0,0.3,29.0,0.0
,2021-01-05 19:13:00,2021-01-05 19:52:00,,10.9,,,213,230,,50.22,0.0,0.5,2.75,0.0,0.3,53.77,0.0
,2021-01-05 19:01:25,2021-01-05 20:01:04,,9.83,,,265,196,,24.07,0.0,0.5,0.0,0.0,0.3,24.87,0.0
,2021-01-05 19:13:45,2021-01-05 19:25:11,,1.91,,,222,77,,8.48,0.0,0.5,0.92,0.0,0.3,10.2,0.0
,2021-01-05 19:55:05,2021-01-05 20:37:07,,23.33,,,167,39,,42.84,0.0,0.5,2.75,6.12,0.3,52.51,0.0
,2021-01-05 19:59:16,2021-01-05 20:08:48,,2.86,,,170,148,,8.7,0.0,0.5,2.6,0.0,0.3,14.6,2.5
,2021-01-05 19:37:00,2021-01-05 20:25:00,,15.0,,,29,231,,50.58,0.0,0.5,0.0,6.12,0.3,60.0,2.5
,2021-01-05 19:21:08,2021-01-05 19:49:34,,8.21,,,228,35,,25.09,0.0,0.5,2.75,0.0,0.3,28.64,0.0
,2021-01-05 19:01:27,2021-01-05 19:01:04,,13.31,,,265,76,,44.0,0.0,0.5,0.0,0.0,0.3,44.8,0.0
,2021-01-05 19:09:32,2021-01-05 19:36:18,,10.87,,,61,56,,32.59,0.0,0.5,2.75,0.0,0.3,36.14,0.0
,2021-01-05 19:31:01,2021-01-05 19:57:13,,9.84,,,123,35,,31.4,0.0,0.5,2.75,0.0,0.3,34.95,0.0
,2021-01-05 19:29:00,2021-01-05 19:35:00,,0.6,,,20,31,,11.45,0.0,0.5,2.75,0.0,0.3,15.0,0.0
,2021-01-05 19:25:00,2021-01-05 19:31:00,,1.04,,,140,263,,7.0,0.0,0.5,2.1,0.0,0.3,12.4,2.5
,2021-01-05 19:29:46,2021-01-05 20:00:24,,16.94,,,169,66,,45.07,0.0,0.5,2.75,6.12,0.3,54.74,0.0
,2021-01-05 19:29:52,2021-01-05 19:36:56,,1.8,,,50,239,,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
,2021-01-05 19:02:00,2021-01-05 19:11:00,,2.47,,,181,61,,18.45,0.0,0.5,2.75,0.0,0.3,22.0,0.0
,2021-01-05 19:41:48,2021-01-05 20:13:44,,14.81,,,167,65,,40.68,0.0,0.5,2.75,6.12,0.3,50.35,0.0
,2021-01-05 19:15:13,2021-01-05 19:19:31,,0.9,,,141,141,,5.5,1.0,0.5,0.98,0.0,0.3,10.78,2.5
,2021-01-05 19:47:36,2021-01-05 19:59:54,,3.4,,,234,143,,12.5,1.0,0.5,2.52,0.0,0.3,19.32,2.5
,2021-01-05 19:56:00,2021-01-05 20:21:00,,15.62,,,219,212,,45.76,0.0,0.5,2.75,6.12,0.3,55.43,0.0
,2021-01-05 19:33:00,2021-01-05 20:19:00,,11.03,,,39,232,,34.35,0.0,0.5,2.75,0.0,0.3,37.9,0.0
